config_name,alpha,beta,gamma,seed,early_detection,cold_start,status
evolution_only,1.0,0.0,0.0,42,0.6,0.9333333333333333,success
evolution_only,1.0,0.0,0.0,123,0.0,0.0,success
evolution_only,1.0,0.0,0.0,456,0.2,0.0,success
evolution_only,1.0,0.0,0.0,789,1.0,1.0,success
evolution_only,1.0,0.0,0.0,999,0.0,0.0,success
memory_only,0.0,1.0,0.0,42,0.0,0.8,success
memory_only,0.0,1.0,0.0,123,0.4,1.0,success
memory_only,0.0,1.0,0.0,456,0.2,0.3333333333333333,success
memory_only,0.0,1.0,0.0,789,0.05,0.3333333333333333,success
memory_only,0.0,1.0,0.0,999,0.0,0.0,success
prediction_only,0.0,0.0,1.0,42,0.0,0.0,success
prediction_only,0.0,0.0,1.0,123,0.0,0.0,success
prediction_only,0.0,0.0,1.0,456,0.0,0.0,success
prediction_only,0.0,0.0,1.0,789,0.05,0.06666666666666667,success
prediction_only,0.0,0.0,1.0,999,0.0,0.2,success
equal_weights,0.33,0.33,0.33,42,0.15,0.2,success
equal_weights,0.33,0.33,0.33,123,0.0,0.0,success
equal_weights,0.33,0.33,0.33,456,0.1,0.0,success
equal_weights,0.33,0.33,0.33,789,0.7,1.0,success
equal_weights,0.33,0.33,0.33,999,0.0,0.0,success
evolution_emphasis,0.6,0.3,0.1,42,0.5,0.8,success
evolution_emphasis,0.6,0.3,0.1,123,0.0,0.0,success
evolution_emphasis,0.6,0.3,0.1,456,0.05,0.0,success
evolution_emphasis,0.6,0.3,0.1,789,0.95,1.0,success
evolution_emphasis,0.6,0.3,0.1,999,0.0,0.0,success
strong_evolution,0.7,0.2,0.1,42,0.55,0.8666666666666667,success
strong_evolution,0.7,0.2,0.1,123,0.0,0.0,success
strong_evolution,0.7,0.2,0.1,456,0.15,0.0,success
strong_evolution,0.7,0.2,0.1,789,0.95,1.0,success
strong_evolution,0.7,0.2,0.1,999,0.0,0.0,success
evolution_memory,0.5,0.5,0.0,42,0.6,0.8666666666666667,success
evolution_memory,0.5,0.5,0.0,123,0.0,0.0,success
evolution_memory,0.5,0.5,0.0,456,0.05,0.0,success
evolution_memory,0.5,0.5,0.0,789,1.0,1.0,success
evolution_memory,0.5,0.5,0.0,999,0.0,0.0,success
evolution_prediction,0.5,0.0,0.5,42,0.1,0.26666666666666666,success
evolution_prediction,0.5,0.0,0.5,123,0.0,0.0,success
evolution_prediction,0.5,0.0,0.5,456,0.05,0.0,success
evolution_prediction,0.5,0.0,0.5,789,0.6,1.0,success
evolution_prediction,0.5,0.0,0.5,999,0.0,0.0,success
